convo_id,final_state,final_profit
0,Customer buys,25
1,Customer buys,0
2,Customer leaves call,-62
3,Customer leaves call,-62
4,Customer buys,8
5,Customer leaves call,-66
6,Customer buys,38
7,Customer buys,29
8,Customer buys,28
9,Customer leaves call,-62
10,Customer leaves call,-62
11,Customer buys,29
12,Customer leaves call,-62
13,Customer buys,38
14,Customer buys,0
15,Customer leaves call,-62
16,Customer buys,25
17,Customer leaves call,-62
18,Customer leaves call,-66
19,Customer leaves call,-74
20,Customer leaves call,-62
21,Customer buys,21
22,Customer leaves call,-62
23,Customer buys,4
24,Customer buys,20
25,Customer leaves call,-74
26,Customer buys,4
27,Customer buys,0
28,Customer buys,8
29,Customer leaves call,-62
30,Customer buys,16
31,Customer buys,16
32,Customer leaves call,-66
33,Customer leaves call,-62
34,Customer buys,38
35,Customer leaves call,-70
36,Customer buys,21
37,Customer leaves call,-62
38,Customer buys,4
39,Customer buys,0
40,Customer leaves call,-66
41,Customer buys,4
42,Customer leaves call,-62
43,Customer buys,-4
44,Customer buys,4
45,Customer leaves call,-62
46,Customer buys,-4
47,No Buy,-28
48,Customer buys,29
49,No Buy,-32
50,Customer buys,38
