convo_id,final_state,final_profit
0,Customer buys,16
1,Customer buys,29
2,No Buy,-24
3,Customer buys,24
4,Customer buys,-12
5,Customer leaves call,-62
6,Customer buys,-4
7,Customer leaves call,-62
8,Customer leaves call,-62
9,Customer leaves call,-62
10,Customer buys,20
11,Customer buys,29
12,Customer leaves call,-62
13,Customer buys,38
14,Customer leaves call,-62
15,Customer leaves call,-62
16,Customer buys,29
17,Customer leaves call,-66
18,Customer buys,34
19,Customer buys,33
20,Customer buys,38
21,Customer buys,38
22,Customer buys,38
23,Customer buys,24
24,Customer buys,8
25,Customer buys,24
26,Customer buys,34
27,Customer leaves call,-74
28,Customer leaves call,-62
29,Customer leaves call,-62
30,Customer leaves call,-66
31,Customer buys,26
32,Customer buys,28
33,Customer leaves call,-78
34,Customer buys,21
35,Customer leaves call,-62
36,Customer leaves call,-62
37,Agent Closed,-24
38,Customer leaves call,-62
39,Customer leaves call,-62
40,Customer buys,8
41,Customer buys,-8
42,Customer buys,29
43,Customer buys,16
44,Customer buys,29
45,Customer leaves call,-70
46,Customer leaves call,-66
47,Customer leaves call,-62
48,Customer buys,4
49,Customer buys,12
50,Customer buys,34
51,Customer leaves call,-62
52,Customer leaves call,-66
53,Customer leaves call,-62
54,Customer leaves call,-66
55,Customer buys,16
56,Customer buys,12
57,Customer leaves call,-62
58,Customer buys,25
59,Customer leaves call,-66
60,Customer leaves call,-82
61,Customer buys,4
62,Customer leaves call,-66
63,Customer buys,38
64,Customer buys,29
65,Customer leaves call,-62
66,Customer buys,29
67,Customer buys,22
68,Customer leaves call,-62
69,Customer leaves call,-74
70,Customer leaves call,-62
71,Customer leaves call,-62
72,Customer buys,38
73,Customer buys,24
74,Customer buys,4
75,Customer buys,38
76,Customer leaves call,-62
77,Customer buys,24
78,Customer buys,0
79,Customer leaves call,-62
80,Customer buys,29
81,Customer leaves call,-74
82,Customer leaves call,-62
83,Customer buys,4
84,Customer buys,28
85,Customer leaves call,-74
86,Customer buys,4
87,Customer buys,33
88,Customer leaves call,-62
89,Customer leaves call,-62
90,Customer leaves call,-62
91,Customer leaves call,-62
92,Customer buys,4
93,Customer leaves call,-62
94,Customer buys,-4
95,Customer leaves call,-62
96,Customer buys,4
97,Customer buys,0
98,Customer buys,38
99,Customer buys,24
100,Customer leaves call,-62
