convo_id,final_state,final_profit
0,Customer buys,29
1,Customer leaves call,-66
2,Customer buys,4
3,Customer leaves call,-66
4,Agent Closed,-20
5,Agent Closed,-20
6,Customer buys,29
7,Agent Closed,-20
8,Customer buys,4
9,Customer buys,24
10,Customer buys,4
11,Customer leaves call,-62
12,Customer leaves call,-62
13,Customer buys,24
14,Customer buys,4
15,Customer leaves call,-62
16,Agent Closed,-20
17,Customer leaves call,-62
18,Agent Closed,-20
19,Customer leaves call,-62
20,Agent Closed,-20
21,Customer leaves call,-62
22,Customer buys,4
23,Customer buys,4
24,Customer leaves call,-62
25,Agent Closed,-20
26,Agent Closed,-20
27,Agent Closed,-20
28,Agent Closed,-20
29,Agent Closed,-20
30,Agent Closed,-20
31,Agent Closed,-20
32,Agent Closed,-20
33,Customer leaves call,-66
34,Customer leaves call,-62
35,Customer buys,4
36,Agent Closed,-20
37,Agent Closed,-20
38,Customer leaves call,-62
39,Customer leaves call,-62
40,Customer buys,38
