convo_id,final_state,final_profit
0,Customer buys,38
1,Customer leaves call,-66
2,Customer leaves call,-62
3,Customer buys,4
4,No Buy,-28
5,Customer leaves call,-62
6,Customer buys,29
7,Customer leaves call,-74
8,Customer buys,34
9,Customer leaves call,-62
10,Customer buys,20
11,Customer leaves call,-66
12,Customer leaves call,-74
13,Customer leaves call,-70
14,Customer leaves call,-62
15,Customer buys,-4
16,Customer buys,24
17,Customer leaves call,-74
18,Customer buys,29
19,Customer buys,38
20,Customer leaves call,-62
21,Customer buys,0
22,Customer leaves call,-74
23,Customer leaves call,-66
24,Customer buys,29
25,Customer leaves call,-62
26,Customer leaves call,-62
27,Customer buys,-4
28,Customer buys,38
29,Customer buys,30
30,Customer leaves call,-62
31,Customer buys,21
32,Customer buys,8
33,Customer leaves call,-70
34,Customer leaves call,-70
35,Customer leaves call,-66
36,Customer leaves call,-62
37,Customer leaves call,-62
38,Customer buys,20
39,Customer leaves call,-70
40,No Buy,-36
41,Customer leaves call,-74
42,Customer buys,0
43,Customer leaves call,-62
44,Customer leaves call,-66
45,No Buy,-28
46,Customer buys,16
47,Customer leaves call,-62
48,Customer leaves call,-62
49,Customer buys,4
50,Customer leaves call,-62
51,Customer buys,16
52,Customer buys,16
53,Customer buys,29
54,Customer buys,29
55,Customer leaves call,-62
56,Customer buys,4
57,Customer buys,38
58,Customer leaves call,-62
59,Customer leaves call,-62
60,Customer leaves call,-78
61,Customer buys,38
62,Customer buys,24
63,Customer leaves call,-62
64,Customer buys,38
65,Customer buys,4
66,Customer buys,38
67,Customer leaves call,-82
68,Customer buys,0
69,Customer buys,21
70,Customer leaves call,-62
71,No Buy,-28
72,Customer leaves call,-62
73,Customer buys,16
74,Customer buys,28
75,Customer leaves call,-62
76,Customer buys,24
77,Customer leaves call,-78
78,Customer leaves call,-62
79,Customer buys,38
80,Customer leaves call,-62
81,Customer buys,0
82,Customer leaves call,-62
83,Customer buys,4
84,Customer buys,-4
85,Customer leaves call,-70
86,Customer leaves call,-74
87,Customer buys,25
88,No Buy,-24
89,Customer buys,26
90,Customer leaves call,-62
91,Customer buys,38
92,Customer leaves call,-66
93,No Buy,-28
94,Customer leaves call,-82
95,Customer buys,29
96,Customer buys,0
97,Customer leaves call,-66
98,Customer leaves call,-62
99,Customer leaves call,-62
100,Customer buys,38
