convo_id,final_state,final_profit
0,Customer buys,8
1,Customer buys,28
2,Customer buys,25
3,Customer buys,8
4,Customer buys,28
5,Customer buys,4
6,Customer leaves call,-74
7,Customer buys,28
8,No Buy,-24
9,Customer buys,33
10,Customer buys,33
11,Customer buys,28
12,Customer buys,28
13,No Buy,-24
14,Customer buys,4
15,Customer buys,8
16,Customer buys,25
17,Customer buys,28
18,Customer buys,0
19,Customer buys,8
20,Customer buys,24
21,Agent Closed,-16
22,Customer buys,8
23,Customer leaves call,-62
24,Customer buys,20
25,No Buy,-24
26,No Buy,-24
27,Customer buys,28
28,Customer buys,28
29,Customer buys,24
30,Customer buys,24
31,Customer buys,4
32,Customer buys,26
33,No Buy,-24
34,Customer buys,28
35,Customer buys,33
36,Customer buys,-4
37,Customer buys,29
38,Customer buys,29
39,Customer buys,33
40,Customer buys,28
